id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
368,329429.9087125,217.78349997475743,2268,2275,0.5355456636914651,0.38282780642568404,1.3493596461062924,0.9980973220561405,3d gaze,4.9855111521832525,14.42154017911974,161.08869505169756,329429.9087125 329429.9112155 329429.9137185 329429.916222 329429.9187255 329429.92122849997 329429.9237315 329429.926235 329429.9287385 329429.93124149996 329429.93374450004 329429.936248 329429.9387515 329429.9412545 329429.94375750003 329429.946261 329429.9487645 329429.9512675 329429.9537705 329429.956274 329429.95877749997 329429.9612805 329429.963784 329429.9662875 329429.96879049996 329429.971294 329429.9737975 329429.9763005 329429.9788035 329429.98130700004 329429.9863135 329429.99132000003 329429.9938235 329429.99632649997 329429.9988295 329430.001333 329430.0038365 329430.00633949996 329430.00884250004 329430.011346 329430.0138495 329430.0163525 329430.01885550003 329430.023862 329430.0263655 329430.0288685 329430.031372 329430.03387549997 329430.0363785 329430.0388815 329430.041385 329430.04388849996 329430.04639150004 329430.0488945 329430.051398 329430.0539015 329430.05640450004 329430.058908 329430.0614115 329430.0639145 329430.06641800003 329430.0689215 329430.07142449997 329430.0739275 329430.076431 329430.0789345 329430.08143749996 329430.0839405 329430.086444 329430.0889475 329430.09145049995 329430.09395350004 329430.096457 329430.0989605 329430.1014635 329430.1039665 329430.10647 329430.10897349997 329430.1114765 329430.1139795 329430.116483 329430.11898649996 329430.12148950004 329430.1239925 329430.126496
369,329430.1289995,217.78349997475743,2275,2281,0.5454266227967225,0.384904395127736,1.1611370555735385,0.9927408848795974,3d gaze,7.397054254843299,14.019500379571634,159.90072476937686,329430.1289995 329430.13150250004 329430.1340055 329430.136509 329430.1390125 329430.1415155 329430.149025 329430.15653499996 329430.1665485 329430.1740585 329430.1765615 329430.17906450003 329430.1865745 329430.191581 329430.19408449996 329430.19658750005 329430.1990905 329430.204097 329430.20660050004 329430.211607 329430.2141105 329430.21661350003 329430.2191165 329430.22161999997 329430.2241235 329430.2266265 329430.2291295 329430.23163299996 329430.2341365 329430.239143 329430.241646 329430.24414950004 329430.2466525 329430.2491555 329430.251659 329430.25416250003 329430.2566655 329430.25916899997 329430.2616725 329430.2641755 329430.2666785 329430.269182 329430.27168550005 329430.2741885 329430.276692 329430.2791955 329430.28169850004 329430.2842015 329430.286705 329430.29171150003 329430.2942145 329430.29671799997 329430.2992215 329430.3017245 329430.30673099996 329430.3092345 329430.3117375 329430.3142405 329430.316744 329430.31924750004 329430.3217505 329430.3242535 329430.326757 329430.32926050003 329430.3317635 329430.33426649997 329430.33677 329430.3392735 329430.3417765 329430.34427949996 329430.346783
370,329430.429391,140.18249994842336,2284,2288,0.48767976338836333,0.37457401611604574,1.4050431546471798,0.9368760489451406,3d gaze,-7.07192479811615,15.856403102094268,163.45464149475532,329430.429391 329430.43189400004 329430.4343975 329430.4369005 329430.439404 329430.44190700003 329430.4444105 329430.44691349997 329430.4494165 329430.454423 329430.45692649996 329430.45943 329430.4619335 329430.46944300004 329430.4719465 329430.476953 329430.47945650003 329430.4819595 329430.486966 329430.4894695 329430.4919725 329430.49447549996 329430.496979 329430.4994825 329430.5019855 329430.50699200004 329430.5094955 329430.5119985 329430.5145015 329430.51700500003 329430.5195085 329430.52201149997 329430.5245145 329430.527018 329430.5295215 329430.53202449996 329430.5345275 329430.537031 329430.5395345 329430.54203749995 329430.54454050004 329430.547044 329430.5495475 329430.5520505 329430.55455400003 329430.5570575 329430.55956049997 329430.5620635 329430.564567 329430.5670705 329430.56957349996
371,329430.774841,150.19549999851733,2294,2298,0.5213818757588607,0.37898228600246625,1.494151693549408,0.7780580519990948,3d gaze,1.5383695127632506,15.912066282457733,171.19126258834788,329430.774841 329430.7873575 329430.79486749996 329430.8048805 329430.80738350004 329430.81239 329430.8148935 329430.8199 329430.82240299997 329430.8274095 329430.8299125 329430.8474355 329430.849939 329430.85494550003 329430.85995199997 329430.867462 329430.8724685 329430.8749715 329430.877475 329430.8824815 329430.887488 329430.8899915 329430.9125205 329430.9225335 329430.9250365
372,329430.9776055,197.75799999479204,2300,2306,0.5495911796792213,0.3858099666921843,0.9286411255549442,0.7733844805528153,3d gaze,8.948450393914845,14.758004202374016,169.86889930112378,329430.9776055 329430.980109 329430.98261199996 329430.9851155 329430.992625 329430.99512850004 329431.002638 329431.01014749997 329431.015154 329431.0176575 329431.025167 329431.03267700004 329431.0351805 329431.0376835 329431.04269000003 329431.0502 329431.052703 329431.0552065 329431.060213 329431.0627165 329431.0652195 329431.06772299996 329431.0702265 329431.07773599995 329431.08023900003 329431.0827425 329431.08524549997 329431.090252 329431.0927555 329431.09525849996 329431.097762 329431.1002655 329431.1027685 329431.1052715 329431.10777500004 329431.1102785 329431.1127815 329431.1152845 329431.120291 329431.12279449997 329431.1252975 329431.127801 329431.1303045 329431.135311 329431.137814 329431.1428205 329431.147827 329431.1503305 329431.1528335 329431.1553365 329431.15784 329431.16034349997 329431.1628465 329431.16535 329431.17035699997 329431.17286 329431.1753635
373,329431.19288600003,217.78349997475743,2306,2313,0.49736242140712894,0.37509024842460115,0.9457965767731003,0.8454538338851064,3d gaze,-4.798028869163884,16.455505900915664,170.4070769531847,329431.19288600003 329431.1978925 329431.2003955 329431.205402 329431.20790549996 329431.2104085 329431.212912 329431.2154155 329431.21791849995 329431.225428 329431.23043450003 329431.232938 329431.2354415 329431.240448 329431.24545449996 329431.24795750005 329431.2504605 329431.25797050004 329431.260474 329431.2629775 329431.2654805 329431.26798350003 329431.270487 329431.2729905 329431.2754935 329431.2805 329431.28300349996 329431.2855065 329431.28801 329431.2905135 329431.29301649996 329431.29551950004 329431.300526 329431.3030295 329431.30553250003 329431.308036 329431.3105395 329431.3130425 329431.3155455 329431.318049 329431.32055249996 329431.3230555 329431.3255585 329431.328062 329431.33056549996 329431.33306850004 329431.3355715 329431.338075 329431.3405785 329431.34308150003 329431.3455845 329431.34808799997 329431.3505915 329431.3530945 329431.355598 329431.35810149997 329431.3606045 329431.3631075 329431.365611 329431.36811449996 329431.37061750004 329431.373121 329431.3756245 329431.3781275 329431.38063050003 329431.383134 329431.3856375 329431.3881405 329431.3906435 329431.393147 329431.39565049997 329431.3981535 329431.4006565 329431.40316 329431.40566349996 329431.40816650004 329431.4106695
374,329431.413173,217.7835000329651,2313,2319,0.4996894362379173,0.37194839844802774,0.5275607480756597,0.9232768029583879,3d gaze,-4.205739483769533,16.96909275330606,170.6301618344482,329431.413173 329431.4156765 329431.41817950003 329431.4206825 329431.42318599997 329431.4256895 329431.4281925 329431.4306955 329431.43319899996 329431.4357025 329431.4382055 329431.4407085 329431.443212 329431.44571550004 329431.4482185 329431.4507215 329431.453225 329431.45572850003 329431.4582315 329431.460735 329431.4632385 329431.4657415 329431.468245 329431.47074849997 329431.4732515 329431.4757545 329431.478258 329431.48076149996 329431.48326450004 329431.4857675 329431.488271 329431.4907745 329431.495781 329431.498284 329431.5007875 329431.5032905 329431.5057935 329431.50829699996 329431.5108005 329431.5133035 329431.5158065 329431.51831 329431.52081350004 329431.5233165 329431.5258195 329431.528323 329431.53082650003 329431.5333295 329431.53583249997 329431.538336 329431.5408395 329431.5433425 329431.54584549996 329431.548349 329431.5508525 329431.5533555 329431.555859 329431.55836250004 329431.5608655 329431.5633685 329431.565872 329431.56837550004 329431.5708785 329431.573382 329431.5758855 329431.5783885 329431.5808915 329431.58339499997 329431.5858985 329431.5884015 329431.5909045 329431.59340799996 329431.5959115 329431.5984145 329431.6009175 329431.603421 329431.60592450004 329431.6084275 329431.61093049997 329431.613434 329431.6159375 329431.6184405 329431.62094349996 329431.623447 329431.6259505 329431.6284535 329431.6309565
375,329431.63346000004,217.78349997475743,2320,2326,0.4990312265209473,0.368456590771782,0.6352057706843688,0.975626358199248,3d gaze,-4.344146061963162,17.36431501165672,169.16601786021198,329431.63346000004 329431.6359635 329431.6384665 329431.6409695 329431.64347300003 329431.6459765 329431.64847949997 329431.6509825 329431.65849249996 329431.6660025 329431.6760155 329431.67851899995 329431.6835255 329431.6860285 329431.6935385 329431.69604199997 329431.698545 329431.7010485 329431.7035515 329431.7060545 329431.7135645 329431.716068 329431.71857100003 329431.7210745 329431.7235775 329431.7260805 329431.728584 329431.7310875 329431.736094 329431.738597 329431.7411005 329431.74360349996 329431.74610650004 329431.74861 329431.7511135 329431.7536165 329431.75611950003 329431.758623 329431.7611265 329431.7636295 329431.766133 329431.7686365 329431.77113949996 329431.773643 329431.7761465 329431.7786495 329431.7811525 329431.78365600004 329431.7861595 329431.7886625 329431.7911655 329431.79366900004 329431.7961725 329431.7986755 329431.8011785 329431.803682 329431.8061855 329431.80868849996 329431.8111915 329431.813695 329431.8161985 329431.81870149996 329431.82120450004 329431.823708 329431.8262115 329431.8287145 329431.83121750003 329431.833721 329431.8362245 329431.8387275 329431.8412305 329431.843734 329431.84623749997 329431.8487405 329431.8512435
376,329431.853747,217.78449998237193,2326,2333,0.509054562698698,0.36110111716817656,1.470438039594633,0.9575323064672641,3d gaze,-1.7109653194701289,18.441632961515428,168.6621876433989,329431.853747 329431.861257 329431.86376 329431.8662635 329431.86876700004 329431.8712705 329431.8737735 329431.87878 329431.8812835 329431.88378649997 329431.8862895 329431.888793 329431.8912965 329431.89379949996 329431.89630250004 329431.898806 329431.9013095 329431.9038125 329431.90631550003 329431.908819 329431.9113225 329431.9138255 329431.9163285 329431.918832 329431.92133549997 329431.9238385 329431.9263415 329431.928845 329431.93134849996 329431.93385150004 329431.9363545 329431.938858 329431.9413615 329431.94386450003 329431.9463675 329431.948871 329431.9513745 329431.9538775 329431.9563805 329431.95888399996 329431.9613875 329431.9638905 329431.966394 329431.96889749996 329431.97140050004 329431.973904 329431.98141400004 329431.983917 329431.9864205 329431.9889235 329431.9914265 329431.99393 329431.99643349997 329431.9989365 329432.0014395 329432.003943 329432.00644649996 329432.00894950004 329432.0114525 329432.013956 329432.0164595 329432.01896250003 329432.0214655 329432.023969 329432.0264725 329432.0289755 329432.0314785 329432.03398199996 329432.0364855 329432.0389885 329432.0414915 329432.04399499996 329432.0464985 329432.0490015 329432.0515045 329432.054008 329432.05651150004 329432.0590145 329432.061518 329432.0640215 329432.0665245 329432.069028 329432.07153149997
377,329432.0740345,210.27400001185015,2333,2339,0.5262091921259512,0.362161112883121,1.392636260296109,0.939507609560175,3d gaze,2.750884402837109,18.09575935632759,166.99415868497286,329432.0740345 329432.0765375 329432.079041 329432.08154449996 329432.08404750004 329432.0865505 329432.089054 329432.0915575 329432.09406050004 329432.0965635 329432.099067 329432.1015705 329432.1040735 329432.1065765 329432.10907999997 329432.1115835 329432.1140865 329432.1240995 329432.126603 329432.1341125 329432.141622 329432.149132 329432.1591455 329432.166655 329432.16915850004 329432.1716615 329432.1791715 329432.18417799997 329432.1866815 329432.1891845 329432.1916875 329432.19419099996 329432.1991975 329432.2017005 329432.204204 329432.20670750004 329432.2092105 329432.2117135 329432.214217 329432.21672050003 329432.2192235 329432.22172649996 329432.22423 329432.2267335 329432.2292365 329432.2317395 329432.23424300004 329432.2367465 329432.2392495 329432.2417525 329432.24425600003 329432.2467595 329432.2492625 329432.2517655 329432.254269 329432.2567725 329432.25927549996 329432.261779 329432.2642825 329432.2667855 329432.26928849996 329432.271792 329432.2742955 329432.279302 329432.28180550004 329432.2843085
378,329432.2868115,217.78400003677234,2339,2346,0.5446453184543141,0.3605192068973752,1.2090108687907128,0.910156555802568,3d gaze,7.428061712195176,18.09527789682771,164.58326808526485,329432.2868115 329432.289315 329432.29682499997 329432.299328 329432.3018315 329432.3043345 329432.3068375 329432.30934100004 329432.3143475 329432.31935400004 329432.3218575 329432.3243605 329432.3268635 329432.329367 329432.33437349997 329432.33938 329432.3418835 329432.34438649996 329432.349393 329432.3518965 329432.3543995 329432.35690300004 329432.3594065 329432.3619095 329432.3644125 329432.366916 329432.3694195 329432.374426 329432.3794325 329432.38193549996 329432.384439 329432.3869425 329432.3894455 329432.3919485 329432.39445200004 329432.3969555 329432.3994585 329432.41197450005 329432.414478 329432.416981 329432.4194845 329432.42198750004 329432.424491 329432.43200100004 329432.434504 329432.4370075 329432.4395105 329432.4420135 329432.444517 329432.4495235 329432.4520265 329432.457033 329432.45953650004 329432.464543 329432.472053 329432.4770595 329432.47956300003 329432.4820665 329432.48456949997 329432.4870725 329432.4970855 329432.502092 329432.5045955
379,329432.50709850003,150.19600000232458,2346,2350,0.5553601082687181,0.36131428246242514,0.7810627107158419,0.8484630030389747,3d gaze,10.119713511239175,17.898670583475027,163.76822747947082,329432.50709850003 329432.5146085 329432.51711200003 329432.519615 329432.52211849997 329432.5246215 329432.5271245 329432.529628 329432.53213149996 329432.53463450004 329432.5371375 329432.539641 329432.5421445 329432.54464750004 329432.5471505 329432.549654 329432.5521575 329432.5621705 329432.564674 329432.56968049996 329432.5721835 329432.57969349995 329432.5847 329432.5872035 329432.5897065 329432.5922095 329432.59721599997 329432.6022225 329432.604726 329432.60722949996 329432.60973250004 329432.6122355 329432.617242 329432.6222485 329432.624752 329432.6272555 329432.6297585 329432.6322615 329432.63476499997 329432.6372685 329432.6397715 329432.6422745 329432.64477799996 329432.6472815 329432.6497845 329432.6522875 329432.654791 329432.65729450004
380,329432.677321,217.78349997475743,2351,2357,0.49754060744270034,0.3575251127909422,0.8564816910343426,0.8979910075749084,3d gaze,-4.868207356105904,19.569235843400783,173.73004278178453,329432.677321 329432.679824 329432.68232749996 329432.68483050005 329432.6873335 329432.689837 329432.6923405 329432.69484350004 329432.6973465 329432.69985 329432.7023535 329432.70485650003 329432.7073595 329432.70986299997 329432.7123665 329432.7148695 329432.7173725 329432.71987599996 329432.7223795 329432.7248825 329432.7273855 329432.729889 329432.73239250004 329432.7348955 329432.7373985 329432.739902 329432.74240550003 329432.7449085 329432.74741149996 329432.749915 329432.7524185 329432.7549215 329432.7574245 329432.75992800004 329432.7624315 329432.7649345 329432.767438 329432.76994150004 329432.7724445 329432.774948 329432.7774515 329432.77995450003 329432.7824575 329432.78496099997 329432.7874645 329432.7899675 329432.7924705 329432.79497399996 329432.7974775 329432.7999805 329432.8024835 329432.804987 329432.80749050004 329432.8099935 329432.8124965 329432.815 329432.81750350003 329432.8200065 329432.82250949997 329432.825013 329432.8275165 329432.8300195 329432.83252249996 329432.835026 329432.8375295 329432.8400325 329432.8425355 329432.84503900004 329432.8475425 329432.852549 329432.855052 329432.8575555 329432.86005849997 329432.862562 329432.8650655 329432.8675685 329432.87007199996 329432.8725755 329432.8750785 329432.8775815 329432.880085 329432.88258850004 329432.8850915 329432.8875945 329432.890098 329432.89260150003 329432.8951045
381,329432.89760749997,102.63400000985712,2357,2360,0.4978224414212452,0.3565367976675007,0.9746162322159417,0.8898875490812821,3d gaze,-4.696148391241956,19.31404490493103,170.08032497548967,329432.89760749997 329432.900111 329432.9026145 329432.9051175 329432.90762049996 329432.910124 329432.9126275 329432.9151305 329432.9176335 329432.92013700004 329432.9226405 329432.9251435 329432.9276465 329432.93015000003 329432.9326535 329432.93515649997 329432.9376595 329432.940163 329432.9426665 329432.94516949996 329432.94767250004 329432.950176 329432.9526795 329432.9551825 329432.95768550003 329432.960189 329432.9626925 329432.9651955 329432.96769900003 329432.9702025 329432.97270549997 329432.975209 329432.9777125 329432.9802155 329432.98271849996 329432.985222 329432.9877255 329432.9902285 329432.9927315 329432.99523500004 329433.0002415
